   1.0000000000000000E-002   2.4875775822099655E-003
   1.0000000000000000E-003   2.4987507807239240E-004
   1.0000000000000000E-004   2.4998752067517671E-005
   1.0000000000000001E-005   2.4999936557579261E-006
   9.9999999999999995E-007   2.4988244717860653E-007
   9.9999999999999995E-008   2.3841039364924654E-008
   1.0000000000000000E-008   6.0774709709221497E-009
   1.0000000000000001E-009   8.2740370999090374E-008
   1.0000000000000000E-010   8.2740370999090374E-008
   9.9999999999999994E-012   8.2740370999090374E-008
   9.9999999999999998E-013   8.8900582341011614E-005
   1.0000000000000000E-013   7.9927783735911362E-004
   1.0000000000000000E-014   2.3003738329862244E-002
