# 100       -0.206196  -0.206087  -0.068214  -0.061677   0.024863   0.073834   0.149424   0.230712
  -0.28390    1.53581    1.54431    0.96110    1.23465    0.87957    0.61375    0.00091    0.71630
  -0.27698    1.39816    1.40517    1.12135    1.41371    0.80213    0.43954    0.04081    0.94442
  -0.27005    1.26459    1.27019    1.27291    1.57747    0.70690    0.28232    0.13661    1.14958
  -0.26313    1.13658    1.14086    1.41160    1.72133    0.59976    0.15285    0.28039    1.31173
  -0.25620    1.01528    1.01834    1.53404    1.84180    0.48701    0.05969    0.46057    1.41568
  -0.24928    0.90155    0.90350    1.63773    1.93651    0.37496    0.00881    0.66305    1.45233
  -0.24235    0.79597    0.79691    1.72106    2.00425    0.26962    0.00337    0.87245    1.41939
  -0.23543    0.69886    0.69889    1.78325    2.04480    0.17638    0.04370    1.07341    1.32122
  -0.22851    0.61031    0.60955    1.82428    2.05891    0.09979    0.12751    1.25176    1.16820
  -0.22158    0.53023    0.52877    1.84483    2.04806    0.04340    0.25021    1.39552    0.97542
  -0.21466    0.45838    0.45631    1.84610    2.01438    0.00971    0.40532    1.49563    0.76110
  -0.20773    0.39437    0.39179    1.82975    1.96044    0.00015    0.58505    1.54646    0.54484
  -0.20081    0.33777    0.33475    1.79775    1.88909    0.01509    0.78078    1.54591    0.34583
  -0.19388    0.28803    0.28465    1.75225    1.80336    0.05399    0.98359    1.49542    0.18123
  -0.18696    0.24461    0.24093    1.69550    1.70626    0.11548    1.18476    1.39954    0.06483
  -0.18003    0.20693    0.20301    1.62976    1.60075    0.19757    1.37619    1.26552    0.00615
  -0.17311    0.17442    0.17031    1.55721    1.48958    0.29775    1.55067    1.10261    0.00986
  -0.16619    0.14652    0.14226    1.47989    1.37529    0.41318    1.70220    0.92140    0.07569
  -0.15926    0.12270    0.11834    1.39966    1.26011    0.54083    1.82608    0.73307    0.19872
  -0.15234    0.10247    0.09803    1.31820    1.14601    0.67763    1.91903    0.54873    0.36999
  -0.14541    0.08537    0.08087    1.23694    1.03459    0.82059    1.97912    0.37882    0.57738
  -0.13849    0.07097    0.06643    1.15711    0.92719    0.96688    2.00577    0.23258    0.80660
  -0.13156    0.05890    0.05435    1.07970    0.82484    1.11388    1.99957    0.11766    1.04234
  -0.12464    0.04882    0.04427    1.00551    0.72829    1.25928    1.96217    0.03983    1.26932
  -0.11771    0.04044    0.03589    0.93514    0.63808    1.40109    1.89610    0.00289    1.47332
  -0.11079    0.03349    0.02896    0.86904    0.55451    1.53764    1.80460    0.00858    1.64203
  -0.10387    0.02775    0.02324    0.80749    0.47773    1.66756    1.69138    0.05663    1.76570
  -0.09694    0.02303    0.01854    0.75064    0.40773    1.78982    1.56055    0.14499    1.83767
  -0.09002    0.01915    0.01469    0.69857    0.34439    1.90366    1.41636    0.26992    1.85456
  -0.08309    0.01598    0.01155    0.65125    0.28750    2.00857    1.26314    0.42637    1.81635
  -0.07617    0.01339    0.00899    0.60860    0.23679    2.10427    1.10515    0.60817    1.72620
  -0.06924    0.01129    0.00692    0.57047    0.19196    2.19065    0.94646    0.80837    1.59016
  -0.06232    0.00959    0.00525    0.53672    0.15267    2.26774    0.79093    1.01955    1.41671
  -0.05540    0.00822    0.00390    0.50717    0.11860    2.33569    0.64211    1.23407    1.21620
  -0.04847    0.00713    0.00283    0.48162    0.08940    2.39472    0.50321    1.44438    1.00021
  -0.04155    0.00626    0.00198    0.45991    0.06478    2.44510    0.37708    1.64325    0.78095
  -0.03462    0.00558    0.00132    0.44185    0.04445    2.48712    0.26620    1.82395    0.57055
